SMILES,Density_MD (kg/m3)
Sc1occ(c1)c1ccoc1O,1342.35
Sc1occc1Oc1ccco1,1301.54
C1CCC(C1)OCc1ncsc1,1103.2
C1NCN(CN1)Cc1cccs1,1211.57
C1NCN(CN1)Cc1cscc1,1219.24
C1NCN(CN1)OCc1cocc1,1211.73
CC1(C)NCN(CN1)C1CCCC1,1005.91
CC1(CCCC1)c1cnc(s1)O,1127.65
CC1(O)NCNC(N1)c1ccco1,1239.32
CC1(O)NCNC(N1)c1cocc1,1244.69
CC1CCC(C1)c1ncsc1O,1119.84
CC1CCC(C1C)C1NCNCN1,1026.14
CC1NCNCN1c1coc(c1)O,1248.6
CCC1CCC(C1)N1CNCNC1,1012.95
CCC1CCCC1N1CNCNC1,1021.89
CCc1ccc(cn1)c1ccccc1,1010.09
CCc1ccccc1c1ccccn1,1000.59
CCc1cccnc1c1ccccc1,998.655
CN1CNC(N(C1)c1cocc1)O,1239.31
CN1CNC(NC1)(O)c1cocc1,1247.47
CN1CNCN(C1)CC1CCCC1,1007.88
CN1CNCN(C1)c1cscc1,1217.58
CN1CNCN(C1O)c1ccco1,1234.32
CN1CNCNC1(O)c1ccco1,1246.48
CN1CNCNC1Oc1ccco1,1223.08
CN1CNCNC1c1cccs1,1215.17
CN1CNCNC1c1ccoc1O,1258.37
COc1ccoc1N1CNCNC1,1247.31
COc1cnc(s1)C1CCCC1,1107.56
Cc1c(coc1O)N1CNCNC1,1255.53
Cc1cc(C)cc(c1)c1ccccn1,1012.37
Cc1ccc(cc1)c1ccc(nc1)C,1013.64
Cc1ccc(o1)OC1NCNCN1,1221.73
Cc1cccc(c1)c1cccc(n1)C,1006.66
Cc1cccc(c1)c1cncc(c1)C,1016.5
Cc1cccc(n1)c1ccccc1C,1002.19
Cc1ccnc(c1C)c1ccccc1,1012.52
OC1CCC(C1)(C)c1cncs1,1138.33
OC1CCC(C1)c1scnc1C,1135.17
OC1NCN(CN1)c1cocc1C,1250.72
OCC1(CCCC1)c1nccs1,1136.71
OCC1(CCCC1)c1ncsc1,1135.88
OCC1(NCNCN1)c1ccco1,1263.19
OCC1CCCC1c1nccs1,1123.95
OCc1cocc1N1CNCNC1,1269.89
OCc1occ(c1)N1CNCNC1,1267.47
ON1C(C)NCNC1c1ccco1,1220.52
ON1CNCNC1c1ccoc1C,1239.11
OOc1ccc(o1)c1nccs1,1359.78
OOc1ncc(s1)c1ccco1,1357.67
Oc1cc(c(o1)c1nccs1)O,1426.86
