Sl.No,Mol_Smiles,Mol_Code,Pol_DFT,Den_MD,pol_den_product/1000,RI_LL,Pol_geom,nBB,MW_pybel,RI_geom,Pol_tz
1474925,c1cnc(cn1)C1SCC(SC1c1cccc2c1cccc2)c1cccs1,F6-F12-F7-F16,286.0632,1263.27,361.375058664,1.5786,289.4973,4,406.58672,1.5871139350299999,321.2881
1475219,n1ccc(cc1)C1CSCC(S1)c1c(ccc2c1cccc2)c1scnc1,F6-F11-F16-F14,287.8137,1261.2,362.99063844,1.5818,302.2854,4,406.58672,1.61809103363,334.3587
1475509,C1CSC(C(S1)c1ccc2c(c1)cc(cc2)c1nncs1)c1ccncc1,F8-F16-F6-F11,300.8659,1278.44,384.639001196,1.6231,307.3082,4,407.57478,1.63984029958,340.1527
1475619,C1CSC(C(S1)c1cccc2c1cccc2)(c1ccncc1)c1nsnc1,F6-F11-F13-F16,286.2838,1258.65,360.33110487,1.5748,289.1157,4,407.57478,1.58180342788,319.8
1475825,C1CSC(CS1)(c1ccncc1)c1cc(cc2c1cccc2)c1nncs1,F8-F16-F6-F11,297.0533,1266.04,376.08135993199994,1.6059,303.2148,4,407.57478,1.6215465322100002,334.6726
1476104,C1CSC(CS1)C1NCNC(N1)c1cc2ccccc2c(c1)c1ccccc1,F9-F16-F5-F6,302.8136,1194.57,361.73204215199996,1.5775,311.9727,4,407.5947,1.5990704674,343.8866
1476196,C1CSC(CS1)N1CNCN(C1)c1c(ccc2c1cccc2)c1ccccc1,F9-F16-F5-F6,297.7912,1172.81,349.25249727199997,1.5534,305.1613,4,407.5947,1.57007531292,336.2194
1476224,C1CSC(CS1)N1CNCNC1c1cc2ccccc2c(c1)c1ccccc1,F9-F16-F5-F6,295.5628,1174.12,347.026194736,1.5492,305.89799999999997,4,407.5947,1.5725316855899998,337.6544
1476448,C1CSC(CS1)c1cc(cc2c1ccc(c2)c1nsnc1)c1cccnc1,F13-F16-F11-F6,313.4249,1289.54,404.17394554599997,1.6632,322.008,4,407.57478,1.68652233581,356.3461
1476515,C1CSC(CS1)c1cc2c(cc1c1ccccn1)cccc2c1nsnc1,F13-F16-F11-F6,296.0833,1277.79,378.332279907,1.6104,309.3407,4,407.57478,1.6447618904899999,338.8137
1476564,C1CSC(CS1)c1cc2ccc(cc2cc1c1ccccn1)c1nsnc1,F13-F16-F11-F6,314.6609,1280.21,402.83203078900004,1.6604,324.697,4,407.57478,1.6874543471399999,358.5534
1476685,C1CSC(CS1)c1cc2ccccc2cc1c1cncc(c1)c1nsnc1,F11-F16-F13-F6,300.3941,1274.61,382.88532380099997,1.6195,304.5882,4,407.57478,1.63036067282,339.3309
1476753,C1CSC(CS1)c1ccc(c2c1cccc2)c1cnc(cn1)c1nccs1,F12-F14-F16-F6,317.8724,1244.01,395.43644432400004,1.6451,337.8448,4,407.57478,1.6972856517800001,373.127
1476901,C1CSC(CS1)c1ccc2c(c1)c(ccc2)c1cncc(n1)c1cncs1,F12-F14-F16-F6,299.0075,1285.39,384.341250425,1.6225,311.4645,4,407.57478,1.65525633,336.0845
1476940,C1CSC(CS1)c1ccc2c(c1)cc(cc2)N1CNCNC1c1ccccc1,F9-F16-F5-F6,312.9588,1222.54,382.60465135199996,1.6189,315.2329,4,407.5947,1.6245470977899998,347.1551
1477235,C1CSC(CS1)c1cccc2c1c(cc(c2)c1cccnc1)c1nsnc1,F13-F16-F11-F6,298.9051,1293.49,386.63075779900004,1.6271,307.7826,4,407.57478,1.6506196800100001,338.013
1477254,C1CSC(CS1)c1cccc2c1c(ccc2)N1CNCN(C1)c1ccccc1,F9-F16-F5-F6,292.7791,1217.49,356.45562645900003,1.5673,306.5167,4,407.5947,1.6000785218200002,335.4839
1477306,C1CSC(CS1)c1cccc2c1cc(c1nsnc1)c(c2)c1ccncc1,F13-F16-F11-F6,298.9121,1272.07,380.237115047,1.6142,308.8228,4,407.57478,1.6397770380599999,341.7653
1477342,C1CSC(CS1)c1cccc2c1cc(cc2)c1nnc(s1)c1ccccn1,F8-F16-F11-F6,322.3974,1285.84,414.551472816,1.6851,333.8868,4,407.57478,1.71683271935,367.3016
1477701,C1CSC(CS1)c1cncc(n1)c1ccc2c(c1)cc(cc2)c1nccs1,F14-F16-F12-F6,316.8146,1289.23,408.446886758,1.6722,327.0246,4,407.57478,1.70013632951,360.8537
1477819,C1CSC(CS1)c1ncc(c(c1)c1nsnc1)c1cccc2c1cccc2,F11-F16-F13-F6,287.3281,1270.26,364.981392306,1.5839,301.8507,4,407.57478,1.62063155949,333.2788
1477957,C1CSC(CS1)c1nccnc1c1ncc(s1)c1cccc2c1cccc2,F14-F16-F12-F6,309.4208,1269.29,392.74472723199995,1.6396,328.7388,4,407.57478,1.69083068387,360.6195
1477975,C1CSC(CS1)c1ncsc1c1cccc2c1ccc(c2)c1cnccn1,F14-F16-F12-F6,302.7024,1268.34,383.929562016,1.6216,312.7778,4,407.57478,1.6477193711899998,345.4871
1478146,C1NCN(CN1)C1(CSCC(S1)c1nncs1)C1CSCCS1,F6-F9-F8-F6,245.6321,1369.05,336.282626505,1.5287,249.7106,4,407.66434,1.5392255871,278.0951
1478437,C1NCN(CN1)c1cccc(c1)C1CSCC(S1)c1ccc2c(c1)cccc2,F5-F6-F9-F16,307.9363,1224.98,377.21580877400004,1.6081,314.2884,4,407.5947,1.6237622553400002,347.3226
